Categorie,Ville,Entreprise,Type,Email_contact,Site_carriere,Offre_publiee,Date_envoi,Relance_J7,Statut,Notes
GRANDE ENTREPRISE,Paris,BNP Paribas,Banque,recrutement.alternance@bnpparibas.com,https://group.bnpparibas/emploi-carriere,Oui,,,,Très gros pôle Data/IA
GRANDE ENTREPRISE,Paris,Société Générale,Banque,recrutement.alternance@socgen.com,https://careers.societegenerale.com,Oui,,,,Pôle DataLab actif
GRANDE ENTREPRISE,Paris,Crédit Agricole CIB,Banque,alternance.ca-cib@ca-cib.com,https://www.ca-cib.com/carrieres,Oui (JOB_147 JOB_148),,,,Data Scientist alternance ouvert
GRANDE ENTREPRISE,Paris,CIC,Banque,recrutement@cic.fr,https://www.cic.fr/recrutement,Oui (JOB_123),,,,Data Analyst
GRANDE ENTREPRISE,Paris,BPCE IG,Banque,recrutement@bpce-it.fr,https://groupebpce.com/carrieres,Oui (JOB_136),,,,Data AI Engineer
GRANDE ENTREPRISE,Paris,AXA France,Assurance,recrutement.france@axa.fr,https://careers.axa.com,Oui (JOB_149 JOB_159),,,,ML Engineer alternance
GRANDE ENTREPRISE,Paris,CNP Assurances,Assurance,recrutement@cnp.fr,https://www.cnp.fr/carriere,Non,,,,Pôle data en croissance
GRANDE ENTREPRISE,Paris,Malakoff Humanis,Assurance,recrutement@malakoffhumanis.com,https://www.malakoffhumanis.com/carrieres,Oui (JOB_121),,,,IA Documentaire
GRANDE ENTREPRISE,Paris,Harmonie Mutuelle,Assurance,recrutement@harmonie-mutuelle.fr,https://www.harmonie-mutuelle.fr/recrutement,Oui (JOB_158),,,,Études Data et IA
GRANDE ENTREPRISE,Paris,Groupama,Assurance,recrutement@groupama.com,https://recrutement.groupama.com,Oui (JOB_141 Montpellier),,,,
GRANDE ENTREPRISE,Paris,Capgemini,ESN,recrutement.fr@capgemini.com,https://www.capgemini.com/fr/carrieres,Oui,,,,Practice Data/IA énorme
GRANDE ENTREPRISE,Paris,Sopra Steria,ESN,recrutement@soprasteria.com,https://www.soprasteria.com/fr/carrieres,Oui,,,,
GRANDE ENTREPRISE,Paris,Atos,ESN,recruitment.fr@atos.net,https://atos.net/fr/carrieres,Oui,,,,Pôle IA et HPC
GRANDE ENTREPRISE,Paris,Accenture,Conseil,recrutement.france@accenture.com,https://www.accenture.com/fr-fr/careers,Oui,,,,Applied Intelligence
GRANDE ENTREPRISE,Paris,Deloitte,Conseil,recrutement@deloitte.fr,https://careers.deloitte.fr,Oui,,,,Risk Advisory + AI Institute
GRANDE ENTREPRISE,Paris,EY,Conseil,recrutement@fr.ey.com,https://www.ey.com/fr_fr/careers,Oui,,,,Data Science consulting
GRANDE ENTREPRISE,Paris,KPMG,Conseil,recrutement@kpmg.fr,https://kpmgrecrute.fr,Oui,,,,Lighthouse (Data & IA)
GRANDE ENTREPRISE,Paris,PwC,Conseil,recrutement@pwc.com,https://www.pwc.fr/carrieres,Oui,,,,Analytics & AI
GRANDE ENTREPRISE,Paris,CGI,ESN,recrutement.france@cgi.com,https://www.cgi.com/fr/carrieres,Oui,,,,
GRANDE ENTREPRISE,Paris,Devoteam,ESN,recrutement@devoteam.com,https://www.devoteam.com/careers,Oui,,,,Practice AI for Business
GRANDE ENTREPRISE,Paris,Inetum,ESN,recrutement.fr@inetum.com,https://www.inetum.com/fr/carrieres,Oui,,,,
GRANDE ENTREPRISE,Paris,Onepoint,Conseil,recrutement@groupeonepoint.com,https://www.groupeonepoint.com/fr/carrieres,Oui,,,,
GRANDE ENTREPRISE,Paris,Talan,Conseil,recrutement@talan.com,https://www.talan.com/carrieres,Oui,,,,Innovation Factory + IA
GRANDE ENTREPRISE,Paris,Mc2i,Conseil,recrutement@mc2i.fr,https://www.mc2i.fr/carrieres,Oui,,,,
GRANDE ENTREPRISE,Paris,Magellan Partners,Conseil,recrutement@magellan-partners.com,https://www.magellan-partners.com,Oui,,,,
GRANDE ENTREPRISE,Paris,TotalEnergies,Énergie,recrutement.france@totalenergies.com,https://careers.totalenergies.com,Oui,,,,Digital Factory à Paris
GRANDE ENTREPRISE,Paris,EDF,Énergie,recrutement@edf.fr,https://www.edf.fr/edf-recrute,Oui,,,,EDF Lab Paris-Saclay (R&D IA)
GRANDE ENTREPRISE,Paris,Engie,Énergie,recrutement@engie.com,https://www.engie.com/carrieres,Oui,,,,Engie Digital + Engie Lab
GRANDE ENTREPRISE,Paris,Orange,Telecom,recrutement.france@orange.com,https://orange.jobs,Oui,,,,Orange Labs IA
GRANDE ENTREPRISE,Paris,SFR,Telecom,recrutement@sfr.fr,https://recrutement.sfr.fr,Oui (JOB_134),,,,Chef de projet IA
GRANDE ENTREPRISE,Paris,Bouygues Telecom,Telecom,recrutement@bouyguestelecom.fr,https://recrutement.bouyguestelecom.fr,Non,,,,
GRANDE ENTREPRISE,Paris,Thales,Industrie,recrutement.france@thalesgroup.com,https://careers.thalesgroup.com,Oui (JOB_164),,,,Cortaix (TRT) - IA défense
GRANDE ENTREPRISE,Paris,Airbus,Industrie,recruitment@airbus.com,https://jobs.airbus.com,Oui,,,,
GRANDE ENTREPRISE,Paris,MBDA,Industrie,recrutement@mbda-systems.com,https://www.mbda-careers.com,Oui (JOB_114),,,,
GRANDE ENTREPRISE,Paris,Safran,Industrie,recrutement@safrangroup.com,https://www.safran-group.com/careers,Non,,,,
GRANDE ENTREPRISE,Paris,Naval Group,Industrie,recrutement@naval-group.com,https://www.naval-group.com/fr/carrieres,Non,,,,
GRANDE ENTREPRISE,Paris,Renault Group,Auto,recrutement.france@renault.com,https://careers.renaultgroup.com,Non,,,,Software République (IA véhicule)
GRANDE ENTREPRISE,Paris,Stellantis,Auto,recrutement@stellantis.com,https://www.stellantis.com/fr/carrieres,Non,,,,
GRANDE ENTREPRISE,Paris,L'Oréal,Cosmétique,recrutement.france@loreal.com,https://careers.loreal.com,Non,,,,Beauty Tech / Data Hub
GRANDE ENTREPRISE,Paris,LVMH,Luxe,recrutement@lvmh.fr,https://www.lvmh.com/talents,Non,,,,Maisons digitales
GRANDE ENTREPRISE,Paris,Kering,Luxe,recrutement@kering.com,https://www.kering.com/fr/talents,Non,,,,
GRANDE ENTREPRISE,Paris,Carrefour,Retail,recrutement.france@carrefour.com,https://recrute.carrefour.com,Oui (JOB_152),,,,Carrefour Links (Data Retail)
GRANDE ENTREPRISE,Paris,Decathlon,Retail,recrutement@decathlon.com,https://joinus.decathlon.com,Non,,,,Decathlon Digital + Tech
GRANDE ENTREPRISE,Paris,Veolia,Environnement,recrutement.france@veolia.com,https://jobs.veolia.com,Non,,,,Smart Data
GRANDE ENTREPRISE,Paris,Suez,Environnement,recrutement.france@suez.com,https://www.suez.com/fr/carrieres,Non,,,,
GRANDE ENTREPRISE,Paris,SNCF Connect & Tech,Transport,recrutement@sncf.fr,https://www.sncfconnectandtech.fr/carrieres,Non,,,,
GRANDE ENTREPRISE,Paris,RATP Smart Systems,Transport,recrutement@ratp.fr,https://www.ratp.fr/carrieres,Non,,,,
GRANDE ENTREPRISE,Paris,Air France-KLM,Transport,recrutement@airfrance.fr,https://recrutement.airfrance.com,Non,,,,Air France Lab (Data)
GRANDE ENTREPRISE,Paris,AP-HP,Santé,recrutement@aphp.fr,https://www.aphp.fr/carrieres,Non,,,,Pôle data santé
